5443	2394	10
2966	3739	24
2721	3554	65
1265	6134	82
5182	6620	3
3097	7377	70
4649	1703	98
446	6873	78
2049	6433	22
3697	2511	68
3730	259	77
504	7226	66
3773	1869	54
1128	7554	78
2523	481	70
2506	4205	33
4984	7991	82
5979	8148	27
1014	6082	61
195	8996	31
2435	3309	60
2101	6572	19
1831	8531	74
3082	404	54
4556	2762	86
730	4820	16
4941	6241	88
3589	4224	18
4654	7025	48
2636	4505	54
5495	3638	27
1678	6532	85
240	7100	63
348	8832	90
5740	1550	58
784	5272	7
4232	58	13
5131	1350	28
1417	5899	48
1835	6938	24
779	8163	6
1891	7551	28
5300	3846	36
5991	3847	54
4172	4596	15
3328	3244	53
5201	2424	76
2343	5623	79
5441	8959	97
2415	7834	22
4369	6030	50
2905	2532	73
4391	1868	56
5752	4990	13
1502	8468	25
1630	4714	39
2455	6477	72
4169	2831	28
1091	164	63
2209	8047	61
193	8187	23
3727	5804	52
4033	2809	87
5120	8401	21
3595	7309	18
5865	6638	2
682	8350	46
1288	4654	57
4665	8014	78
899	4612	40
3986	4238	48
4417	5124	1
360	3288	63
5806	3962	12
2719	8559	84
4830	5877	2
4307	3645	99
2927	8478	64
5661	7540	53
4896	3788	47
5717	6081	41
680	2140	7
3266	5456	93
78	6048	3
3624	8643	63
5971	1327	77
1397	6260	20
1180	7217	11
1180	7047	8
5421	1534	45
1697	1156	42
1904	703	22
32	887	26
518	3909	57
78	5009	6
5448	398	95
2970	1122	81
2908	4886	79
2111	8174	58
1493	8332	73
5108	2995	42
4412	6807	68
3431	4946	56
355	682	67
3568	1118	7
4272	8415	27
5448	7952	76
5804	5983	72
4523	1836	22
3979	1415	6
3523	8158	45
1274	5518	30
317	4724	21
1806	2402	73
1491	8563	80
2063	2649	21
438	5647	76
4535	1759	43
4084	3297	50
111	5432	22
854	7113	62
5242	6054	23
3471	4474	41
547	4290	33
4597	5221	24
2265	4953	51
5777	1081	23
2521	2096	21
4625	2287	65
5786	1094	40
3855	6455	13
2476	2003	70
4909	5125	86
2818	5497	94
3753	5916	41
3216	5039	63
5990	2987	91
2580	7176	76
2097	2920	80
2334	8594	20
3209	6714	12
1920	6873	26
1436	8802	1
5202	5537	67
644	4334	2
3035	3757	56
1303	7456	65
2203	871	41
1293	1943	83
3794	6077	61
4271	657	28
1389	3753	96
4483	790	80
3852	510	76
955	933	2
273	6336	37
478	7468	53
3817	3412	54
